variant,tableau_hex,final_hex,approve,note,has_conflict
AY.1,#A13703,"",no,"",0
AY.100,#79706E,"",no,"",2
AY.103,#B6992D,"",no,"",2
AY.113,#BAB0AC,"",no,"",2
AY.117,#FABFD2,"",no,"",2
AY.118,#79706E,"",no,"",2
AY.119,#B6992D,"",no,"",2
AY.122,#9D7660,"",no,"",2
AY.2,#C14F22,"",no,"",0
AY.20,#FF9D9A,"",no,"",2
AY.25,#C7E9B4,"",no,"",2
AY.26,#8CD17D,"",no,"",2
AY.3,#2C7FB8,"",no,"",2
AY.3.1,#FABFD2,"",no,"",2
AY.39,#B07AA1,"",no,"",2
AY.4,#59A14F,"",no,"",0
AY.43,#B07AA1,"",no,"",0
AY.44,#41B6C4,"",no,"",2
AY.47,#D4A6C8,"",no,"",2
AY.75,#F1CE63,"",no,"",2
B,#76B7B2,"",no,"",0
KS.1,#B771BC,"",no,"",0
NA,#A0CBE8,"",no,"",0
PQ.17,#BF2490,"",no,"",0
PQ.2.8.1,#B962D1,"","","",0
VBM,#B39DDB,"",no,"",0
VOI,#76B7B2,"",no,"",0
XBB.1.42.1,#75D1A3,"",yes,"",0
XBB.1.5.77,#254220,"",yes,"",0
XFG.1,#5A667F,"",yes,"",0
XFG.1.1,#B6B600,"",yes,"",0
XFG.14.1,#6C9BBA,"",yes,"",0
XFG.2.5.1,#FFAA00,"",yes,"",0
XFG.23.1.3,#0000FF,"","","",0
XFG.6,#5555FF,"",yes,"",0
XFV,#DD6731,"",yes,"",0
XFY,#8855E1,"",yes,"",0
XFZ,#9D3B2E,"",yes,"",0
